stnid,lat,lon,deparval,accumval,norm
KMNH,39.21667,-104.63333,-84,9/11/17,
KMMV,45.19472,-123.13389,-904,9/11/17,
KMML,44.45,-95.81667,-72,9/11/17,
KMMK,41.50972,-72.82778,-211,9/11/17,
KMLU,32.51556,-92.04056,-557,9/11/17,
KMLT,45.64778,-68.6925,-516,9/11/17,
KMLS,46.42667,-105.8825,-518,9/11/17,
KMLP,47.45694,-115.645,-820,9/11/17,
KMLI,41.46528,-90.52333,-271,9/11/17,
KMLF,38.41667,-113.01667,-514,9/11/17,
KMLE,41.19611,-96.11194,359,9/11/17,
KMLC,34.88222,-95.78306,-502,9/11/17,
KMLB,28.10111,-80.64389,-98,9/11/17,
KMKT,44.21667,-93.91667,-36,9/11/17,
KMKO,35.65667,-95.36139,-457,9/11/17,
KMKG,43.17111,-86.23667,-307,9/11/17,
KMKE,42.955,-87.90444,-285,9/11/17,
KMKC,39.12083,-94.59695,-687,9/11/17,
KMJQ,43.65,-94.98639,-295,9/11/17,
KMIW,42.11056,-92.91611,-257,9/11/17,
KMIV,39.36666,-75.06667,-338,9/11/17,
KMIE,40.23417,-85.39361,-365,9/11/17,
KMIC,45.06194,-93.35083,-309,9/11/17,
KMIA,25.79056,-80.31639,-19,9/11/17,
KMHT,42.93333,-71.43833,-380,9/11/17,
KMHS,41.3325,-122.33278,-949,9/11/17,
KMHK,39.13472,-96.67889,-531,9/11/17,
KMHE,43.77417,-98.03833,-193,9/11/17,
KMGY,39.59361,-84.22639,-470,9/11/17,
KMGW,39.64278,-79.91639,-481,9/11/17,
KMGN,45.42556,-84.91333,-409,9/11/17,
KMGM,32.29972,-86.4075,-519,9/11/17,
KMGJ,41.50917,-74.265,-401,9/11/17,
KMGG,45.23583,-93.98556,-91,9/11/17,
KMFR,42.38111,-122.87222,-715,9/11/17,
KMFI,44.63806,-90.1875,-376,9/11/17,
KMFE,26.18389,-98.25389,-101,9/11/17,
KMFD,40.82028,-82.51778,-510,9/11/17,
KMEM,35.05639,-89.98638,-639,9/11/17,
KMEI,32.33472,-88.74416,-624,9/11/17,
KMEH,45.51139,-118.42472,-1465,9/11/17,
KMEB,34.79167,-79.36611,-541,9/11/17,
KMDW,41.78611,-87.75222,-476,9/11/17,
KMDT,40.19611,-76.77251,-55,9/11/17,
KMDH,37.77972,-89.24972,-428,9/11/17,
KMCW,43.15444,-93.32694,-551,9/11/17,
KMCO,28.43389,-81.325,-130,9/11/17,
KMCN,32.68472,-83.65278,-413,9/11/17,
KMCK,40.20639,-100.59139,-425,9/11/17,
KMCI,39.29722,-94.73056,-591,9/11/17,
KMCE,37.28472,-120.51278,-459,9/11/17,
KMCB,31.18278,-90.47083,-534,9/11/17,
KMBS,43.53306,-84.07972,-366,9/11/17,
KMBL,44.26667,-86.25,76,9/11/17,
KMBG,45.54639,-100.40778,-374,9/11/17,
KMAI,30.83556,-85.18389,-398,9/11/17,
KMAF,31.9475,-102.20861,-511,9/11/17,
KMAE,36.98778,-120.11056,-521,9/11/17,
