date,last,current,avg
10/1/16,0,0,0
10/2/16,0,0,0
10/3/16,0,0,1
10/4/16,0,0,1
10/5/16,0,0,2
10/6/16,0,0,2
10/7/16,0,0,3
10/8/16,0,0,3
10/9/16,0,0,4
10/10/16,0,0,5
10/11/16,0,0,6
10/12/16,0,0,6
10/13/16,0,0,7
10/14/16,0,0,8
10/15/16,0,0,9
10/16/16,0,0,10
10/17/16,0,0,12
10/18/16,3,0,14
10/19/16,12,0,16
10/20/16,20,0,18
10/21/16,20,0,19
10/22/16,20,0,21
10/23/16,20,3,23
10/24/16,20,3,25
10/25/16,20,3,28
10/26/16,20,3,31
10/27/16,20,3,34
10/28/16,20,3,37
10/29/16,20,3,40
10/30/16,20,3,43
10/31/16,20,3,46
11/1/16,20,3,49
11/2/16,20,3,54
11/3/16,20,3,59
11/4/16,20,3,64
11/5/16,20,3,69
11/6/16,20,7,74
11/7/16,20,7,79
11/8/16,20,11,84
11/9/16,20,11,89
11/10/16,20,16,94
11/11/16,20,20,100
11/12/16,20,20,106
11/13/16,20,20,112
11/14/16,34,23,118
11/15/16,44,29,124
11/16/16,52,29,130
11/17/16,52,35,136
11/18/16,52,39,142
11/19/16,52,39,149
11/20/16,52,50,156
11/21/16,52,59,162
11/22/16,57,70,169
11/23/16,74,77,176
11/24/16,86,77,183
11/25/16,94,77,189
11/26/16,94,81,198
11/27/16,94,90,207
11/28/16,94,90,216
11/29/16,94,90,224
11/30/16,94,90,233
12/1/16,94,90,242
12/2/16,94,98,251
12/3/16,99,99,259
12/4/16,112,99,269
12/5/16,121,100,279
12/6/16,126,100,289
12/7/16,134,100,299
12/8/16,145,109,310
12/9/16,154,129,320
12/10/16,154,147,330
12/11/16,154,158,340
12/12/16,154,158,351
12/13/16,154,158,362
12/14/16,154,158,373
12/15/16,156,172,384
12/16/16,160,190,396
12/17/16,160,199,407
12/18/16,169,200,418
12/19/16,186,221,429
12/20/16,200,245,441
12/21/16,203,255,452
12/22/16,203,255,464
12/23/16,203,262,476
12/24/16,203,262,487
12/25/16,203,262,499
12/26/16,203,262,511
12/27/16,203,262,522
12/28/16,203,262,533
12/29/16,203,263,544
12/30/16,203,279,555
12/31/16,203,279,566
1/1/17,203,281,577
1/2/17,221,281,588
1/3/17,235,281,599
1/4/17,251,281,610
1/5/17,275,291,622
1/6/17,299,306,635
1/7/17,309,330,648
1/8/17,309,354,660
1/9/17,309,375,673
1/10/17,318,386,685
1/11/17,337,386,698
1/12/17,353,386,711
1/13/17,369,386,723
1/14/17,381,386,736
1/15/17,383,386,749
1/16/17,383,386,761
1/17/17,393,386,774
1/18/17,414,386,787
1/19/17,436,386,799
1/20/17,448,386,812
1/21/17,459,386,824
1/22/17,465,386,835
1/23/17,489,386,847
1/24/17,508,388,859
1/25/17,523,393,871
1/26/17,532,393,882
1/27/17,532,410,894
1/28/17,536,427,906
1/29/17,548,438,917
1/30/17,557,450,928
1/31/17,562,459,939
2/1/17,562,459,950
2/2/17,562,459,961
2/3/17,562,460,972
2/4/17,564,476,983
2/5/17,581,487,995
2/6/17,597,487,1006
2/7/17,611,487,1017
2/8/17,623,487,1029
2/9/17,647,490,1040
2/10/17,671,500,1051
2/11/17,685,504,1063
2/12/17,695,504,1074
2/13/17,712,504,1086
2/14/17,730,509,1094
2/15/17,741,509,1102
2/16/17,742,518,1111
2/17/17,746,526,1119
2/18/17,756,526,1127
2/19/17,765,526,1136
2/20/17,769,526,1144
2/21/17,769,526,1152
2/22/17,769,526,1160
2/23/17,769,526,1168
2/24/17,770,526,1176
2/25/17,781,526,1184
2/26/17,796,535,1192
2/27/17,808,537,1200
2/28/17,817,537,1208
3/1/17,817,537,1222
3/2/17,820,537,1229
3/3/17,832,546,1235
3/4/17,841,557,1242
3/5/17,850,565,1249
3/6/17,853,565,1255
3/7/17,860,565,1262
3/8/17,860,565,1268
3/9/17,860,567,1274
3/10/17,860,567,1279
3/11/17,860,572,1284
3/12/17,860,589,1290
3/13/17,860,613,1295
3/14/17,860,628,1300
3/15/17,860,649,1306
3/16/17,860,664,1311
3/17/17,860,672,1315
3/18/17,860,672,1320
3/19/17,860,672,1324
3/20/17,860,680,1328
3/21/17,871,680,1332
3/22/17,879,680,1337
3/23/17,883,680,1341
3/24/17,883,680,1345
3/25/17,883,680,1348
3/26/17,883,680,1351
3/27/17,883,680,1354
3/28/17,883,680,1356
3/29/17,883,680,1359
3/30/17,883,680,1362
3/31/17,883,680,1365
4/1/17,883,680,1367
4/2/17,883,680,1370
4/3/17,883,680,1372
4/4/17,886,680,1374
4/5/17,886,680,1377
4/6/17,886,680,1379
4/7/17,886,681,1381
4/8/17,886,682,1383
4/9/17,889,686,1386
4/10/17,897,686,1387
4/11/17,898,686,1389
4/12/17,898,686,1390
4/13/17,898,686,1392
4/14/17,898,686,1394
4/15/17,898,686,1395
4/16/17,898,686,1397
4/17/17,898,686,1398
4/18/17,899,686,1399
4/19/17,899,686,1400
4/20/17,899,686,1401
4/21/17,899,686,1402
4/22/17,899,686,1403
4/23/17,899,686,1404
4/24/17,899,686,1404
4/25/17,899,686,1405
4/26/17,899,686,1405
4/27/17,899,686,1405
4/28/17,899,686,1405
4/29/17,899,686,1405
4/30/17,899,686,1405
5/1/17,899,686,1405
5/2/17,899,686,1405
5/3/17,899,686,1405
5/4/17,899,686,1405
5/5/17,899,686,1405
5/6/17,899,686,1405
5/7/17,899,686,1405
5/8/17,899,686,1405
5/9/17,899,686,1405
5/10/17,899,686,1405
5/11/17,899,686,1405
5/12/17,899,686,1405
5/13/17,899,686,1405
5/14/17,899,686,1405
5/15/17,899,686,1405
5/16/17,899,686,1405
5/17/17,899,686,1405
5/18/17,899,686,1405
5/19/17,899,686,1405
5/20/17,899,686,1405
5/21/17,899,686,1405
5/22/17,899,686,1405
5/23/17,899,686,1405
5/24/17,899,686,1405
5/25/17,899,686,1405
5/26/17,899,686,1405
5/27/17,899,686,1405
5/28/17,899,686,1405
5/29/17,899,686,1405
5/30/17,899,686,1405
5/31/17,899,686,1405
6/1/17,899,686,1405
6/2/17,899,686,1405
6/3/17,899,686,1405
6/4/17,899,686,1405
6/5/17,899,686,1405
6/6/17,899,686,1405
6/7/17,899,686,1405
6/8/17,899,686,1405
6/9/17,899,686,1405
6/10/17,899,686,1405
6/11/17,899,686,1405
6/12/17,899,686,1405
6/13/17,899,686,1405
6/14/17,899,686,1405
6/15/17,899,686,1405
6/16/17,899,686,1405
6/17/17,899,686,1405
6/18/17,899,686,1405
6/19/17,899,686,1405
6/20/17,899,686,1405
6/21/17,899,686,1405
6/22/17,899,686,1405
6/23/17,899,686,1405
6/24/17,899,686,1405
6/25/17,899,686,1405
6/26/17,899,686,1405
6/27/17,899,686,1405
6/28/17,899,686,1405
6/29/17,899,686,1405
6/30/17,899,686,1405
7/1/17,899,686,1405
7/2/17,899,686,1405
7/3/17,899,686,1405
7/4/17,899,686,1405
7/5/17,899,686,1405
7/6/17,899,686,1405
7/7/17,899,686,1405
7/8/17,899,686,1405
7/9/17,899,686,1405
7/10/17,899,686,1405
7/11/17,899,686,1405
7/12/17,899,686,1405
7/13/17,899,686,1405
7/14/17,899,686,1405
7/15/17,899,686,1405
7/16/17,899,686,1405
7/17/17,899,686,1405
7/18/17,899,686,1405
7/19/17,899,686,1405
7/20/17,899,686,1405
7/21/17,899,686,1405
7/22/17,899,686,1405
7/23/17,899,686,1405
7/24/17,899,686,1405
7/25/17,899,686,1405
7/26/17,899,686,1405
7/27/17,899,686,1405
7/28/17,899,686,1405
7/29/17,899,686,1405
7/30/17,899,686,1405
7/31/17,899,686,1405
8/1/17,899,686,1405
8/2/17,899,686,1405
8/3/17,899,686,1405
8/4/17,899,686,1405
8/5/17,899,686,1405
8/6/17,899,686,1405
8/7/17,899,686,1405
8/8/17,899,686,1405
8/9/17,899,686,1405
8/10/17,899,686,1405
8/11/17,899,686,1405
8/12/17,899,686,1405
8/13/17,899,686,1405
8/14/17,899,686,1405
8/15/17,899,686,1405
8/16/17,899,686,1405
8/17/17,899,686,1405
8/18/17,899,686,1405
8/19/17,899,686,1405
8/20/17,899,686,1405
8/21/17,899,686,1405
8/22/17,899,686,1405
8/23/17,899,686,1405
8/24/17,899,686,1405
8/25/17,899,686,1405
8/26/17,899,686,1405
8/27/17,899,686,1405
8/28/17,899,686,1405
8/29/17,899,686,1405
8/30/17,899,,1405
8/31/17,899,,1405
